Team,Location,Kit Supplier,Shirt Sponsor,Stadium,Capacity
Abia Warriors,Umuahia,Owu,Eunisell,Umuahia Township Stadium,"5,000"
Akwa United,Uyo,Owu,1xBet,Godswill Akpabio Stadium,"30,000"
Bayelsa United,Yenagoa,GDF,_,Samson Siasia Stadium,"5,000"
Bendel Insurance,Benin City,Fourteen,Sterling Bank,Samuel Ogbemudia Stadium,"12,000"
El-Kanemi Warriors,Maiduguri,,,El-Kanemi Stadium,"10,000"
Enugu Rangers,Enugu,Cone Sport,"Afrinvest,Shopurban, Senior Barman",Nnamdi Azikiwe Stadium,"22,000"
Enyimba,Aba,KK,"Stake.com,United Nigeria Airlines",Enyimba International Stadium,"16,000"
Heartland,Owerri,_,_,Dan Anyiam Stadium,"10,000"
Ikorodu City,"Ikorodu,Lagos",,,Onikan Stadium,"10,000"
Kano Pillars,Kano,Play,Rambo,Muhammadu Dikko Stadium[a],"35,000"
Katsina United,Katsina,Owu,_,,
Kwara United,Ilorin,Owu,_,Kwara State Stadium,"18,000"
Lobi Stars,Makurdi,Owu,_,Lafia Township Stadium[b],"10,000"
Nasarawa United,Lafia,,,,
Niger Tornadoes,Minna,Cone Sport,_,Bako Kontagora Stadium,"5,000"
Plateau United,Jos,Kapspor,_,New Jos Stadium,"44,000"
Remo Stars,Ikenne,Cone Sport,Bet9ja,Remo Stars Stadium,"5,000"
Rivers United,Port Harcourt,Owu,_,Adokiye Amiesimaka Stadium,"40,000"
Shooting Stars,Ibadan,Cone Sport,Peculiar,Lekan Salami Stadium,"15,000"
Sunshine Stars,Akure,Cone Sport,_,Dipo Dina International Stadium[c],"20,000"
