years,team
1972,Mighty Jets F.C.
1973,Bendel Insurance F.C.
1974,Enugu Rangers F.C.
1975,Rangers International F.C. 
1976,Shooting Stars F.C.
1977,Enugu Rangers F.C.
1978,Racca Rovers F.C.
1979,Bendel Insurance F.C.
1980,Shooting Stars F.C.
1981,Enugu Rangers F.C.
1982,Enugu Rangers F.C.
1983,Shooting Stars F.C.
1984,Enugu Rangers F.C.
1985,New Nigeria Bank F.C.
1986,Leventis United F.C.
1987,Iwuanyanwu Nationale F.C.
1988,Iwuanyanwu Nationale F.C.
1989,Iwuanyanwu Nationale F.C.
1990,Iwuanyanwu Nationale F.C.
1991,Julius Berger F.C.
1992,Stationery Stores F.C.
1993,Iwuanyanwu Nationale F.C.
1994,BCC Lions F.C.
1995,Shooting Stars F.C.
1996,Udoji United F.C.
1997,Dolphin F.C.
1998,Shooting Stars F.C.
1999,Lobi Stars F.C.
2000,Julius Berger F.C.
2001,Enyimba F.C.
2002,Enyimba F.C.
2003,Enyimba F.C.
2004,Dolphin F.C.
2005,Enyimba F.C.
2006,Ocean Boys F.C.
2007,Enyimba F.C.
2008,Kano Pillars F.C.
2009,Bayelsa United F.C.
2010,Enyimba F.C.
2011,Dolphin F.C.
2012,Kano Pillars F.C.
2013,Kano Pillars F.C.
2014,Kano Pillars F.C.
2015,Enyimba F.C.
2016,Enugu Rangers F.C.
2017,Plateau United F.C.
2018,Championship canceled
2019,Enyimba F.C.
2020,Championship canceled due to Covid-19
2021,Akwa United F.C.
2022,Rivers United F.C.
2023,Enyimba F.C.
2024,Enugu Rangers F.C.
