shirt_number,position,nation,player,team
1,GK,NGA,Edwin Nwakanma,Abia Warriors F.C.
30,GK,NGA,Tambe Charles,Abia Warriors F.C.
33,GK,NGA,Uche Okafor,Abia Warriors F.C.
35,GK,NGA,Godgift Elkanah,Abia Warriors F.C.
3,DF,NGA,Ubong Williams,Abia Warriors F.C.
5,DF,NGA,Chinedu Ozor,Abia Warriors F.C.
6,DF,CMR,Jean-Parfait Ledoux,Abia Warriors F.C.
26,DF,NGA,Ebetomame Oghenetega,Abia Warriors F.C.
29,DF,NGA,Innocent Gabriel,Abia Warriors F.C.
,DF,NGA,Samson P,Abia Warriors F.C.
,DF,NGA,Emeka I,Abia Warriors F.C.
4,MF,NGA,Abdullahi Fatai,Abia Warriors F.C.
7,MF,NGA,Promise Ogu,Abia Warriors F.C.
8,MF,NGA,Keumian Guy,Abia Warriors F.C.
13,MF,NGA,Hammed Yakub,Abia Warriors F.C.
15,MF,NGA,Adekunle Adeleke,Abia Warriors F.C.
25,MF,NGA,Somtochukwu Omini,Abia Warriors F.C.
34,MF,NGA,Okemmiri Anthony,Abia Warriors F.C.
9,FW,NGA,Jimoh Oni,Abia Warriors F.C.
10,FW,NGA,Shedrack Asiegbu,Abia Warriors F.C.
11,FW,NGA,Auta Phillip,Abia Warriors F.C.
12,FW,NGA,Atilola Abdulsalam Tunde,Abia Warriors F.C.
23,FW,NGA,Odeh James,Abia Warriors F.C.
24,FW,NGA,Ikedinachi Nwakanma,Abia Warriors F.C.
14,,NGA,Emmanuel Ugwuka,Abia Warriors F.C.
16,,NGA,Obaroakpo A,Abia Warriors F.C.
20,,NGA,Paul Samson,Abia Warriors F.C.
22,,NGA,Ugochukwu Anozie,Abia Warriors F.C.
1,GK,NGA,Adewale Adeyinka,Akwa United F.C.
18,GK,CMR,Jean Efala,Akwa United F.C.
33,GK,NGA,Dele Ajiboye,Akwa United F.C.
34,GK,NGA,Ifeanyi Emmanuel,Akwa United F.C.
2,DF,NGA,James Ajako,Akwa United F.C.
3,DF,NGA,Evans Ogbonda,Akwa United F.C.
5,DF,NGA,Sampson Gbadebo,Akwa United F.C.
6,DF,NGA,Charles Okafor,Akwa United F.C.
12,DF,NGA,Denis Nya,Akwa United F.C.
14,DF,NGA,John Lazarus,Akwa United F.C.
15,DF,NGA,Elu Wilson,Akwa United F.C.
26,DF,NGA,Ekene Olisema,Akwa United F.C.
29,DF,NGA,Etboy Akpan,Akwa United F.C.
16,MF,NGA,James Arong,Akwa United F.C.
19,MF,NGA,Seth Mayi,Akwa United F.C.
24,MF,NGA,Samuel Amadi,Akwa United F.C.
27,MF,NGA,Ubong Essien,Akwa United F.C.
