years,scorers,club,goals
1990,Ishaya Jatau,Iwuanyanwu Nationale F.C.,17
1991,Richard Ojomo,Bendel United F.C.,12
1992,Arthur Moses,Stationary Stores F.C.,10
1993,Anthony Nwaigwe,Iwuanyanwu Nationale F.C.,13
1994,Olumide Harris,Shooting Stars F.C.,14
1995,Ben Agawam,Gombe United F.C.,12
1996,Peter Anyiolobi,Enyimba F.C.,9
1997,Paul Kpoughoul,Jasper United F.C. - BCC Lions F.C.,16
1998,Hassan Minna,Gombe United F.C.,14
1999,Emmanuel Ago,Iwuanyanwu Nationale F.C.,14
2000,Peter Ijeh,Julius Berger F.C.,14
2001,Uche Okereke,Enugu Rangers F.C.,13
2002,Joetex Frimpong,El-Kanemi Warriors F.C.,16
2002,Victor Ezeji,Sharks of Ph F.C.,16
2003,Chibuzor Ozurumba,Iwuanyanwu Nationale F.C.,13
2003,Endurance Idahor,Julius Berger F.C.,13
2004,Kabiru Alausa,Julius Berger F.C.,13
2005,Timothy Anjembe,Lobi Stars F.C.,12
2005,Joseph Akpala,Bendel Insurance F.C.,12
2006,Ikechukwu Ibenegbu,El-Kanemi Warriors F.C.,10
2007,Aruwa Ameh,Kaduna United F.C.,10
2008,Abubakar Babale,Wikki Tourists F.C. - Sunshine Stars F.C.,14
2009,Orok Akarandut,Akwa United F.C.,17
2010,Ahmed Musa,Kano Pillars F.C.,18
2011,Jude Aneke,Kaduna United F.C.,20
2012,Sibi Gwar,Niger Tornadoes F.C.,17
2013,Victor Namo,Nasarawa United F.C.,18
2014,Mfon Udoh,Enyimba F.C.,23
2015,Gbolahan Salami,Warri Wolves F.C.,17
2016,Godwin Obaje,Wikki Tourists F.C. ,18
2017,Anthony Okpotu,Lobi Stars F.C.,19
2018,Junior Lokosa,Kano Pillars F.C.,19
2019,Mfon Udoh,Akwa United F.C.,10
2019,Sunusi Ibrahim,Nasarawa United F.C.,10
2020,Israel Abia,Enugu Rangers F.C.,12
2021,Silas Nwankwo,Nasarawa United F.C.,19
2022,Charles Atshimene,Akwa United F.C.,19
2022,Chijioke Akuneto,Rivers United F.C.,19
2023,Chukwuemeka Obioma,Enyimba F.C.,16
2024,Chijioke Mbaoma,Enyimba F.C.,17
